metric,ppo_mean,ppo_std,thermostat_mean,ppo_minus_thermostat,improvement_pct,difference_exceeds_ppo_sd
total_energy,3.8841818451364003,0.039264554670215966,7.9,-4.0158181548636005,50.833141200805066,True
electricity_cost,2.9733727860427055,0.03513230420099957,5.909995970599732,-2.936623184557026,49.689089453964975,True
mean_temperature_deviation,0.3259823789846838,0.004478737204600537,0.8362816507114429,-0.5102992717267592,61.020024927324016,True
total_discomfort,0.032273980008495094,0.017807077135394533,4.917550150460172,-4.885276170451677,99.34369799959285,True
comfort_band_pct,98.8888888888889,0.13888888888889284,65.13888888888889,33.750000000000014,51.8123667377399,True
safety_violations,0.0,0.0,0.0,0.0,,False
cumulative_reward,-1.7728387027528594,0.00940591254441409,-5.519019254304015,3.7461805515511557,67.87764961373692,True
peak_hvac_energy,0.3575042592154609,0.028577090283357306,1.0,-0.6424957407845391,64.2495740784539,True
minimum_temperature,21.48511536652586,0.0704083552941426,20.468307610294485,1.0168077562313762,,True
maximum_temperature,22.422294541063675,0.11752538435432083,24.507937912544715,-2.0856433714810407,,True
