seed,total_energy,electricity_cost,mean_temperature_deviation,total_discomfort,comfort_band_pct,safety_violations,cumulative_reward,peak_hvac_energy,minimum_temperature,maximum_temperature
42,3.8388480440403026,2.9559069566107126,0.3268544641461342,0.0525188836669083,98.75,0.0,-1.7638433580009967,0.3506322006384532,21.55690469054942,22.438272335379466
123,3.907431936978052,3.013815122074156,0.32113173703920794,0.019037061450927695,98.88888888888889,0.0,-1.7826074300886179,0.33298977514108025,21.416174430708907,22.297597681305824
2024,3.9062655543908478,2.9503962794432477,0.32996093576870916,0.02526599490764928,99.02777777777779,0.0,-1.7720653201689636,0.38889080186684927,21.48226697831926,22.531013606505734
