metric,mean,std
total_energy,3.8841818451364003,0.039264554670215966
electricity_cost,2.9733727860427055,0.03513230420099957
mean_temperature_deviation,0.3259823789846838,0.004478737204600537
total_discomfort,0.032273980008495094,0.017807077135394533
comfort_band_pct,98.8888888888889,0.13888888888889284
safety_violations,0.0,0.0
cumulative_reward,-1.7728387027528594,0.00940591254441409
peak_hvac_energy,0.3575042592154609,0.028577090283357306
minimum_temperature,21.48511536652586,0.0704083552941426
maximum_temperature,22.422294541063675,0.11752538435432083
