seed,profile_id,total_energy,electricity_cost,mean_temperature_deviation,total_discomfort,safety_violations,cumulative_reward,peak_hvac_energy,minimum_temperature,maximum_temperature,comfort_band_pct
42,validation_day_0001,3.3777517322450876,2.616637070725528,0.46236006958293235,0.15334872683291678,0,-1.5979924245517985,0.36364465951919556,20.846651273167083,22.198119263289033,95.83333333333334
42,validation_day_0002,3.37848349660635,2.670752157643285,0.3067312670407703,0.0,0,-1.5476954805105618,0.3117068409919739,21.447893878613694,22.183861039555403,100.0
42,validation_day_0003,4.863608790561557,3.6558250056657964,0.6208450013705842,0.2176759517814446,0,-2.277318019014204,0.39335107803344727,22.33830031191989,23.217675951781445,95.83333333333334
42,validation_day_0004,4.070310719311237,3.1623827348905373,0.17367999376047724,0.0,0,-1.8535697627714787,0.32757025957107544,21.673388901417113,22.46649515979797,100.0
42,validation_day_0005,3.5444586910307407,2.6954209560858704,0.3818665563043567,0.0,0,-1.6024217985263962,0.28498566150665283,21.163122251907893,22.218213809693303,100.0
42,validation_day_0006,4.123749021440744,3.2300518088258467,0.349027629567781,0.0,0,-1.8831350681973926,0.3996392488479614,21.780286978644774,22.772764638352527,100.0
42,validation_day_0007,4.034344382584095,3.04534192464838,0.20543029351114628,0.0,0,-1.8193716997049045,0.3668041229248047,21.739256055200677,22.6772531676963,100.0
42,validation_day_0008,3.547072535380721,2.7244120072993083,0.3549796437387222,0.0,0,-1.609004162074078,0.3678790330886841,21.174868812014907,22.074512636115507,100.0
42,validation_day_0009,3.463649809360504,2.692340538609014,0.34882487123263656,0.0,0,-1.577563050529954,0.30905354022979736,21.12159152982856,22.29513706354743,100.0
42,validation_day_0010,3.980235282331705,3.1504427437042697,0.24589698677732885,0.0,0,-1.8241591334403655,0.3787880539894104,21.834048651809184,22.61205293823778,100.0
42,validation_day_0011,4.075481692329049,3.168271160690976,0.2999793818362681,0.0,0,-1.85629873983691,0.3536924123764038,21.804788349454565,22.698961462993598,100.0
