profile_id,PPO Energy,Thermostat Energy,Energy Improvement (%),PPO Cost,Thermostat Cost,Cost Improvement (%),PPO Temp Deviation,Thermostat Temp Deviation,Deviation Improvement (%),PPO Discomfort,Thermostat Discomfort,Discomfort Improvement (%),PPO Comfort-Band %,Thermostat Comfort-Band %,PPO Safety Violations,Thermostat Safety Violations
validation_day_0001,3.490674398839473,7.0,50.13322287372182,2.6802649816184565,4.949206837936813,45.844555109848976,0.4640701181193864,0.7481646320173662,37.97219244806341,0.0,4.090350799099877,100.0,100.0,66.66666666666666,0,0
validation_day_0002,3.5924602672457686,7.0,48.67913903934616,2.7988749028380404,5.297397474258068,47.16509538053798,0.3335305995525135,0.7180268902831209,53.54900992343043,0.0,3.891960541871434,100.0,100.0,70.83333333333334,0,0
validation_day_0003,4.564141548238694,10.0,54.35858451761306,3.5353285185916237,6.673198187488062,47.021976280875315,0.4836142579494617,1.0138586189443088,52.29963538180202,0.0,6.113075442513676,100.0,100.0,54.166666666666664,0,0
validation_day_0004,4.170118443667888,8.0,47.873519454151406,3.2426234507872485,6.893735803308892,52.962754255380126,0.2947142281302703,0.838531105894611,64.85351276076443,0.0,5.209891027380657,100.0,100.0,62.5,0,0
validation_day_0005,3.5967378914356223,10.0,64.03262108564378,2.751639476207096,7.207292297824355,61.82145301588885,0.3964669983728055,0.8608099505274424,53.94256326499489,0.0,6.4970385547952425,100.0,100.0,54.166666666666664,0,0
validation_day_0006,4.39207935705781,8.0,45.09900803677738,3.400900071036907,6.039993811443591,43.69364974193453,0.3800683807769401,0.7723363557638788,50.78978505407353,0.0,4.013883865493781,100.0,100.0,66.66666666666666,0,0
validation_day_0007,3.997744109481572,8.0,50.02819863148035,3.0504176802543457,5.41415652913766,43.6584874515957,0.1672908266826658,0.8950034977472839,81.30836057023963,0.0,4.460957528480034,100.0,100.0,66.66666666666666,0,0
validation_day_0008,3.685082420706748,8.0,53.93646974116565,2.7970791743277834,5.5869022281557115,49.935061325547395,0.42788984438763916,0.7804646615064533,45.174987992188406,0.0005016531532469,5.474396549748331,99.99083637532122,95.83333333333334,62.5,0,0
validation_day_0009,3.485089607536792,8.0,56.436379905790105,2.721986787400378,5.471950377533879,50.255638308124894,0.3761842398357918,0.8124026422514982,53.6948527403564,0.0,5.604429462681079,100.0,100.0,62.5,0,0
validation_day_0010,4.023662086576223,8.0,49.70422391779721,3.1983437371071286,5.6013940449455735,42.900933027678015,0.18618512281635655,0.9238255389718525,79.8462896984244,0.0,4.571141643603106,100.0,100.0,66.66666666666666,0,0
